name,description,icon_color,long,lat,pic_url,thumb_url,is_video
根津神社,集合地点です。ここでは、フィールドワークの班分けやデジタル機器操作をレクチャーします！,R,139.7617194,35.71938056,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0005.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0005.JPG,
言問通り,不忍通りと言問通りの交差点から西側の言問通りをみると、急な坂になっています。ここは、本郷台地と平地の境界です。,R,139.7645861,35.71757222,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0016.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0016.JPG,
弥生土器発掘ゆかりの地,1884年にこのエリアにあった貝塚から、新種の土器が発見され、地域の地名にちなんで弥生土器と名付けられました。これが、弥生時代の由来です。,R,139.7624667,35.71613333,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0018.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0018.JPG,
向ヶ岡碑,弥生の地名は、幕末に活躍した水戸藩主の徳川斉昭（1800-1860）が3月（弥生）に詠んだ詩に由来するようです。,R,139.7642667,35.71547778,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0023.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0023.JPG,
不忍池,不忍池は、上野台地と本郷台地にはさまれた低地にあります。昔は池の北から藍染川が流入していましたが、今は暗渠になっています。,R,139.7697917,35.71236667,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0042.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0042.JPG,
湯島天神,江戸時代前からある神社です。江戸時代には、多くの人口が集中した江戸ですが、それより前はどんなところだったか学びましょう！,R,139.7679583,35.707325,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0060.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0060.JPG,
天神男坂,男坂から上野公園の方角を望むと、断崖絶壁になっていいるのがわかります。,R,139.7691639,35.70770278,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0068.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0068.JPG,
江戸名水,男坂の登り口には、水が湧き出ています！,R,139.7688611,35.70751111,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0074.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0074.JPG,
下町風俗資料館,江戸時代から現代までの資料を展示しています。ここでは、班ごとに簡単な調べ学習を行う予定です！,R,139.77275,35.70998333,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0081.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0081.JPG,
上野恩賜公園,明治時代にできた日本初の公園です。このあたりは、上野台地の末端にあたり、上野の山、忍ケ丘などとよばれていました。,R,139.7735278,35.71023611,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0083.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0083.JPG,
西郷隆盛像,明治維新の功労者の一人西郷隆盛の像があります。近くには、彰義隊のお墓もあります。,R,139.7759861,35.71130833,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0084.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0084.JPG,
野口英世像,野口英世像を発見できたらゴールです！,R,139.7743083,35.7159,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0090.JPG,https://sagara1020.github.io/Ueno/ueno_pre/IMG_0090.JPG,
